序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
11,0,261379094752,435934836,别别别烦yp,5,女,舍友买了一个，号称所有FPS游戏都能用，暴力侧键锁，无畏契约用了半年了，封最长时间也就一天[脱单doge],2025-04-27 00:47:20,1,0,,未知,否,https://i0.hdslb.com/bfs/face/be2e494f0d284c3a677bfeccb2e3fd8f989ef4ae.jpg,Joy
12,0,261375137088,94918118,5025速爆点50,6,男,太无敌了[doge_金箍]但是现在dma技术已经升级了 ps：有点动手能力的可以在显卡上外接pcie接口[doge_金箍],2025-04-26 22:34:24,0,0,READY TO RACE!,未知,是,https://i2.hdslb.com/bfs/face/2a561180a1eb8d7a60ebb3efc87c0c1a9cc35866.jpg,Joy
13,0,261369127584,492815216,南丶丿离,5,保密,[doge_金箍],2025-04-26 17:29:02,0,0,,未知,是,http://i2.hdslb.com/bfs/face/d0d42bd460af0b42e020dd781cddd0a3524530f7.jpg,Neutral
14,0,260398456113,332776484,CS2九霞,6,男,南京这边，要测试我来[doge]，天梯第一都可以上,2025-04-26 05:29:53,0,1,"专注于当职业指挥的教学主播

前挑战组、勇者组、职业青训队指挥
谐星电竞社配音，5e单排拿过第一
商务学习：wohenmiren1105",未知,否,https://i2.hdslb.com/bfs/face/1a77d2e5389dd2583423b3696a1289f842410dd8.jpg,Joy
15,0,260328910049,11305169,点赞领取大会员,6,保密,电竞酒店老板天塌了[无语],2025-04-25 08:49:17,0,0,点击关注免费获取年度大会员,未知,否,https://i2.hdslb.com/bfs/face/896c9b1020286d0b25f5218b0b7760be744fc9b2.jpg,Disgust
16,0,261239921072,333618940,长命芋泥-,4,保密,我来,2025-04-25 08:00:11,1,0,,未知,是,https://i1.hdslb.com/bfs/face/0902078fce6cd2920ef86e69e521d9b1a2752d4f.jpg,Neutral
17,0,261163444144,503890742,农药马斯克,5,男,笑话 三角洲dam根本不封 我玩半年了,2025-04-24 08:32:46,9,6,粉丝群826863733,未知,否,https://i2.hdslb.com/bfs/face/b6a0fcefb79fbe5e202eb6e00f8fd2c2d8c8d58c.jpg,Disgust
18,0,260217294353,1589239052,未荣未枯,6,保密,可以测试测试绝地求生的DMA测试，测到关服也不会封的,2025-04-23 17:50:59,0,0,常驻限流区，随缘更新，主做剧情评和推书（太懒还没开始），学习忙就慢做视频。商务合作私信，不接影广,未知,是,https://i2.hdslb.com/bfs/face/18c7db1bf0944103d68250bb0ec0c3547c265869.jpg,Expectation
19,0,261108419456,17549119,洛同QQQ,5,保密,支持,2025-04-23 13:20:57,0,0,这个人是个憨批，什么都没有写。\(ﾋ•ω•ﾏ)/,未知,否,http://i2.hdslb.com/bfs/face/494c34a2633b76452bb4a73789dbc218d6e25fbf.jpg,Joy
20,0,261105073632,123443918,代码之外,6,保密,测试要保证每台设备不同的网卡 每个网卡都要在测试设备上采集信息然后制作固件烧录才可以保证真实性，否则就是无用功😓,2025-04-23 12:38:44,1,0,技术成就梦想 代码改变世界 爱发电[代码之外] 炉石水友群 980433242 原神交流群 774956282,未知,否,https://i2.hdslb.com/bfs/face/957a4ce50b50995c2a907534122d6084946bd0ec.jpg,Regret
33,0,260193241729,1891197977,永劫权贵虎少,5,保密,哇塞,2025-04-23 11:58:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8f12acfc5fda57f533c20ce6c6bcb8f7e8820e1d.jpg,Surprise
34,0,260191363041,1139277458,热爱永不停,5,保密,应该再公布一下DMA的价格吧。[思考]因为不同价格的DMA能力都不一样,2025-04-23 11:32:36,0,0,,未知,是,https://i2.hdslb.com/bfs/face/b9d4a3cebdb93da0ec7f165fa051d6375b34220c.jpg,Expectation
35,0,260165952529,158588176,暴雪没马的玩意,5,保密,虽然藤子反作弊效果也就那么回事，但恐怖的就是藤子反作弊已经是市面上t0级别了,2025-04-23 04:53:30,3,1,,未知,否,https://i1.hdslb.com/bfs/face/0010f77cf72e7c54d4adbcdee73e2ef6611d83e2.jpg,Expectation
36,0,260074389937,348021851,我是只因楞啊,5,男,apex呢,2025-04-21 21:48:01,0,0,→_→,未知,否,https://i2.hdslb.com/bfs/face/8011acc845b76520ea43eef49890e8cf3b7f25c3.jpg,Expectation
37,0,260976111456,926802,風吹散的從前,6,男,免费游戏挂不多就奇了怪了[兔兔岛_睡觉]0成本开挂,2025-04-21 19:10:55,0,0,本人现已决定将英文名定名为Hamas（哈·马斯）,未知,是,https://i0.hdslb.com/bfs/face/265f130606cdbff50c0f0054ea6c0a5f02a6cc10.jpg,Disgust
38,0,260032904945,1952616089,挽风作陪,5,保密,笔记本可以参加测试吗？？？,2025-04-21 09:36:02,0,0,未知全貌，不予评价。,未知,否,https://i2.hdslb.com/bfs/face/777e5f1e09ed65c5daefced39840b8ebdcfad9a6.jpg,Expectation
39,0,260028641825,32291962,八之星,6,男,好啊，看爽了,2025-04-21 08:30:11,0,0,2025，给老妈换个新手机！,未知,否,https://i1.hdslb.com/bfs/face/0c4c81cafb1b87b10e86d8b59a144f3d89e64d41.jpg,Joy
40,0,260815255600,30520749,林怡宝丶,6,保密,吃鸡才是dma重灾区 根本不封[微笑],2025-04-20 00:51:27,0,0,,未知,是,https://i0.hdslb.com/bfs/face/73d2f38a1f18b7446b419a8ccf1bbef8c0773c77.jpg,Joy
41,0,260755268528,1669036642,莫洛达尔,5,保密,我看到这个标题就想笑,2025-04-19 07:55:06,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c3e9daad9db71c4adad25b5316f23c96a12ee376.jpg,Joy
42,0,259800865345,344125484,kagome__,6,保密,三角洲我一周封两次了，每次都是封一天，不如直接给我封十年别让我玩了🤣,2025-04-18 13:01:25,0,0,,未知,是,https://i2.hdslb.com/bfs/face/4bf5abe9ee95de4043a0499788531019229553d5.jpg,Joy
43,0,260610026944,259490608,梦雨落世,5,男,@洛天依VS初音未来,2025-04-17 12:37:52,0,0,很懒,未知,否,https://i1.hdslb.com/bfs/face/b81b959743c9007ec43e60f85eb9c5aa9609e417.jpg,Neutral
44,0,260536185568,29349030,不穿褲衩子的子默君,6,男,我一点都不带信的，前天打大乱斗碰到个百分百躲技能男枪和维鲁斯，虚弱刚抬手套下去一帧的时间都不到解了，边解虚弱边躲酒桶e闪，到现在了没封禁给个处理结果是还在观察,2025-04-16 13:12:32,0,1,搬砖中~做不了补丁以前的补丁群里有：964570742,未知,是,https://i0.hdslb.com/bfs/face/417cf01ea1d175f224bdaf3e2d91fab81eb26c96.jpg,Anger
45,0,260526763296,3808849,叫我小风好啦,6,男,我的电脑只能打cf[笑哭],2025-04-16 11:17:25,0,0,追梦逐星 慢步前行    回忆之所以是回忆，因为是回不去的记忆,未知,是,https://i1.hdslb.com/bfs/face/3c1b1731a491e7102ca898e38ea66e905407c365.jpg,Sadness
46,0,259622500977,35651891,文森特的双枪地狱犬,6,男,注意！我们的电脑已经被标记为高威胁单位！[doge],2025-04-16 06:10:37,0,0,什么坑都能随便进出程度的能力,未知,是,https://i2.hdslb.com/bfs/face/b5cfb8e79be91c9432034682ec18ce82f9d50dd6.jpg,Surprise
47,0,260489762352,361758810,东方极镜,4,保密,报名[doge_金箍],2025-04-16 02:44:16,0,0,,未知,是,https://i0.hdslb.com/bfs/face/3a1dcae609e8dfd0d518fa4fade1df450d7ffe02.jpg,Neutral
48,0,259564183489,5374796,Aahoge,6,保密,BV13RdoYZEBq 油墨反作弊,2025-04-15 10:54:54,0,0,⑩,未知,否,https://i2.hdslb.com/bfs/face/9f171384106ff2332dfeb2b295a21326bf2d6905.jpg,Neutral
49,0,259510777201,1877389757,沧海东流,4,保密,硬解机器码dd,2025-04-14 15:05:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
50,0,259482254273,26594271,五星王宝乐,6,男,其实官方封号，不如标记，然后让挂只能匹配挂,2025-04-14 08:40:11,0,2,加强姬子,未知,否,https://i0.hdslb.com/bfs/face/8a4fc7b056d9a516e9960e15fbaabe726a94c378.jpg,Expectation
51,0,259464493313,594045489,unemployedTAT,4,男,报名[大哭],2025-04-14 03:37:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6974dfa9a02c244f35159f48610037c0c4da0111.jpg,Sadness
52,0,259376688209,433583492,茧缚于减负,5,保密,现在都是小号辅助大号上分！,2025-04-13 01:45:23,0,0,,未知,否,https://i2.hdslb.com/bfs/face/935537c4feb0c45b23a964dcae61e59e4f7271b8.jpg,Disgust
56,0,259329039793,3493079931685678,熊猫少爷无敌帅,2,男,无畏契约的挂太多了简直，三角洲这游戏至少还不是那种对瞄准要求极致的游戏，有外挂影响相对较小，cf的外挂是真的恶心到极致了,2025-04-12 10:32:31,0,0,一秒对白,未知,否,https://i1.hdslb.com/bfs/face/06f3749516b008b3ae7330da027dd03e68c4ce45.jpg,Disgust
57,0,259307600913,29210991,一动不动面包人,6,男,遇到的挂基本都会演的  对局内不会封 爽了很久才给封禁 这时候已经有很多绿玩被影响过了[藏狐],2025-04-12 05:28:41,1,0,相信面包，渴望面包，成为面包,未知,否,https://i0.hdslb.com/bfs/face/a570376b0595f7643414edafa5ffb21903a5eebd.jpg,Regret
58,0,259158107489,1502970589,这一路风景ll,3,保密,我毕业想到你们那里工作,2025-04-10 08:11:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2f1cd4d93801e799364948a533c73d1f144363a5.jpg,Expectation
59,0,259981679424,1155525323,小沈数码实验室,5,男,博主我被误封了，黑机器，部署了deepseek本地模型后被封，刚买一周的轻薄本，博主能不能帮我明查啊!!!要是有问题可以全网曝光!个人名誉担保,2025-04-09 17:18:19,1,0,Are you ok,未知,是,https://i2.hdslb.com/bfs/face/2afc339f0f34ec51cb5d6c885afea8ab3d8ce8bd.jpg,Regret
60,0,259930302864,1828117347,神领道人,6,保密,直接抓阿,2025-04-09 05:48:12,0,0,"不写文案、不剪辑、尽可能聊些全网没有的内容。  
不接受一切金钱往来。
穷法渡之本源，子帅以正。",未知,是,https://i0.hdslb.com/bfs/face/a7e890ed22fc39dc9d9426dd65c6d0c934a5a850.jpg,Anger
61,0,259069867921,476200265,陨落梦启,6,保密,我电脑就是两个网卡[doge_金箍][doge_金箍][doge_金箍],2025-04-09 05:23:13,0,0,,未知,是,http://i2.hdslb.com/bfs/face/4e9ee016fef21dbe029098e9c603592e47f9086e.jpg,Neutral
62,0,259029005713,38711075,半岛饭盒吃饭真香,6,保密,测一下pubg[doge_金箍],2025-04-08 13:59:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cd209fd7142e8c70d8e154dcfdc7f5fd3106bbfe.jpg,Neutral
63,0,259027817969,3546621243558074,小杨与老老张,3,保密,检查人员:不是一个IP，怎么开那么多挂,2025-04-08 13:45:11,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4ec80127a5b5a7ffa8caef25aef11b9d441b6074.jpg,Disgust
64,0,258971952417,393429294,沈木苏,6,保密,建议tg上找全国各地的兄弟线下测试，up全程不参与，只在tg上发号施令，国内的社交软件你知道的[笑哭],2025-04-07 22:55:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/56dcb85e7425f5c388cb55c102dc583a144d9d66.jpg,Joy
65,0,258966288033,20720258,Junie1,6,保密,可以试下cod和apex吗,2025-04-07 17:37:20,0,0,。,未知,否,http://i2.hdslb.com/bfs/face/864c8c5211a4207a4398567edaaf1ec4e195e08f.jpg,Expectation
66,0,258942467249,3537119964301759,宇宙皓瀚,4,保密,立志走遍每个视频,2025-04-07 12:17:35,0,0,你好，陌生人……立志走遍每个视频,未知,否,https://i1.hdslb.com/bfs/face/d1bd3bc733974f499c7274aa07a88ed057b8b149.jpg,Expectation
67,0,258942441041,1541540155,天猫艾梅里埃,4,男,机器码算个屁真正大佬直接锁起来他想封封不起来只能说我们不是大佬[嗑瓜子][嗑瓜子],2025-04-07 12:16:20,0,2,粉丝群:972195286代肝:zx56987052,未知,否,https://i1.hdslb.com/bfs/face/183bb8f9f0658ee79ae695a175f83f2d9adb2fcc.jpg,Disgust
68,0,258904296929,334986776,Perfctocean,6,男,测试一下端游吃鸡呗,2025-04-07 02:48:14,0,0,,未知,否,http://i0.hdslb.com/bfs/face/5f6beffad516f63efd66915968ac0c3ff8efc859.jpg,Expectation
69,0,259744447376,3317604,LVZ★紫龍,6,男,所以dma除了游戏作弊有什么正面的合法的实际作用？,2025-04-06 19:07:35,0,0,最重要的是开心啦。,未知,否,https://i0.hdslb.com/bfs/face/6634fb16f3ec16225bafbc231ba161f55a3fceca.jpg,Expectation
70,0,258860589249,383389264,31152509766_bili,5,保密,别测了，动不动对玩家就是封禁一天，说是有违规行为，握草有啥违规的，问也不说，一会儿说检测冻结，一会儿说你有违规行为，然而341h没有被封，莫名其妙被封了。,2025-04-06 11:11:34,0,1,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg,Anger
71,0,258801683953,1689670760,黄昏的落日叄,5,保密,要反作弊，其实还有一个源头上解决的办法，卡网，QQ。这卡网有个特色，就是购买之后会入群。完完全全可以让官方随便找个人入群，然后直接报警线下真实。这些群主一般都是跟着主谋一起在后面那啥的，一抓一个准，微信支付宝流水异常一封一个准，包都是指扫码转账，包都是五湖四海，一查一个准全可以判刑,2025-04-05 17:09:32,0,0,如果是个人，总得有点什么,未知,否,https://i2.hdslb.com/bfs/face/97e1fde44df1fa9b1fa730e4fdc4b560d128f5de.webp,Expectation
72,0,258801492433,1689670760,黄昏的落日叄,5,保密,能看得到我说话吗？我这句话很重要，麻烦帮我顶上去转告一下三角洲官方，建议严查海豹，这玩意儿现在是三角洲个人用户端开挂首选之一，这玩意就是国内生产的！三角洲因为这个问题出了很大问题！我们很多玩家都是因为这个原因退的，不像狼头那么暴力，但是绝对是，最大的问题之一,2025-04-05 17:07:53,0,0,如果是个人，总得有点什么,未知,否,https://i2.hdslb.com/bfs/face/97e1fde44df1fa9b1fa730e4fdc4b560d128f5de.webp,Anger
73,0,259629424384,511866443,Verg1L_,5,男,三角洲封的太轻了。我自己遇到过一个透，铁透，举报完看战绩就是故意输个几把，然后绝密不演得吃几百上千万，每十几把就出一颗心，是个人都看得出来这是什么出生。举报完第二天就被封了，就封三天，我以为至少会收敛点了吧，结果过几天看战绩，就没变。然后又停了三天没打，估计又被封了。又接着还魂。目前刚刚邮件又提醒我封他三天。尼玛的封三天封三天有个鸟用呢，你要真在意玩家感受你就疑似两三次直接十年。看你让这种✔玩意，户口本闹鬼的玩意得吃比我连跪还难受。,2025-04-05 13:05:27,3,1,杂up,未知,否,https://i2.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg,Anger
74,0,258781030785,67910474,健健-无畏契约,4,男,一直觉得这反作弊不能当局时间内封都是究极大垃圾！马后炮？事后诸葛亮？迟到的正义？蛋用没有,2025-04-05 13:05:17,0,1,,未知,否,https://i2.hdslb.com/bfs/face/8e4a4fa34bcccf801347b2aa1f69b447c747b86b.jpg,Anger
75,0,259597590640,44100761,王跳跳呀,6,男,支持！！只有一直有这样的人反作弊才能一直被优化！,2025-04-05 06:37:40,0,0,王跳跳,未知,否,http://i1.hdslb.com/bfs/face/1b8a4e43a13df3da9eca427b20b690502169023c.jpg,Joy
81,0,258732037649,3546863674329763,五尺微命望天下太平,2,男,[doge_金箍]清汤大老爷,2025-04-05 02:36:35,0,0,中华人民共和国万岁 世界人民大团结万岁,未知,否,https://i1.hdslb.com/bfs/face/c1b247049c20f9c521a3e9130c762102c20e5428.jpg,Neutral
82,0,258675044401,31230095,来一份可爱猫娘,6,保密,好家伙，真就换主板啊[笑哭]，,2025-04-04 09:01:08,0,0,一般情况下我不会抱有恶意，如果抱有恶意，那你可以想想是不是理解错了,未知,是,https://i2.hdslb.com/bfs/face/1cf0a7ffca04f57c9cedadf4d4cff64a59150cc7.webp,Surprise
83,0,259458756784,524808423,国大药房益源,5,保密,[吃瓜][吃瓜][吃瓜],2025-04-03 14:42:32,0,0,ⓘ 该账号已被永久封禁,未知,否,https://i0.hdslb.com/bfs/face/44a7ba7d1a28e365d8faa06a2ed751070c95a0b9.jpg,Neutral
84,0,258588193665,375038165,杏仁郁子qwq,5,男,悟光上压力，绿色玩家最爽,2025-04-03 08:52:50,0,0,找机会更新,未知,是,https://i2.hdslb.com/bfs/face/a456e2f9e78ce9adb2fb860ac0d15075c7228362.jpg,Joy
85,0,259421697440,3546748853160119,丸原神害了我,4,保密,昨天举报一个，结果封号一天[笑],2025-04-03 07:02:03,0,0,这名字真的笑死我,未知,否,https://i2.hdslb.com/bfs/face/8441ee3eda27d7a070cc520a7437a1272352ab35.webp,Joy
86,0,258508917361,291047271,慕柠诗,5,保密,只能说三角洲也是烂完了，一个集市被玩家猜到了延期修改也是纯乐子，发了个公告里面整一个追查泄密信息也是纯乐子了，有这时间不如去查查挂呢，上次在绝巴单三打电话3次趴房区里面精准虎炖丢我嘴上[脱单doge]我举报了那队3个人追缴了2个人另外个挂哥封3天，都被追缴了为什么还封3天呢这不是永封吗？纯nt官方，洗地狗就别来杠了你爹我内测开始玩到上周活跃玩家你猜猜我还有多少东西没喷呢？拿着洗地的💰去买⚰️,2025-04-02 10:00:50,0,1,,未知,是,https://i0.hdslb.com/bfs/face/931700b216e6290c3a3dddd73bded5ebbd37471c.jpg,Anger
87,0,258475530113,24701072,IN2U-JJKCHU,6,男,DMA很难查出来的，只有举报才行,2025-04-02 01:19:20,0,0,"喜裸奔，爱好女，工程狮，社交悍匪
",未知,否,https://i2.hdslb.com/bfs/face/3eae1310cd9089361e58fb531ae5db1902c5802e.jpg,Expectation
88,0,258419819185,364262477,a赖,5,保密,无畏契约炸鱼比挂多的多了一晚上全是炸鱼的,2025-04-01 08:05:40,1,0,,未知,是,https://i2.hdslb.com/bfs/face/e1b970d3597c115747dc51935c8bc3e858a7f1ab.jpg,Disgust
89,0,258418824705,14178091,上六修二的温拿贝亨瑞,6,男,报名[doge],2025-04-01 07:49:55,0,0,ᅠᅠᅠᅠᅠ子可分我馀光，无损子明而得一斯便焉。,未知,否,https://i1.hdslb.com/bfs/face/5c4d88c4184e630becca1e0f2ecf99f77e142c83.jpg,Neutral
90,0,258378268433,11209768,第一只猫_,6,男,加油！,2025-03-31 16:30:32,0,0,何乐尔不安之?,未知,是,https://i1.hdslb.com/bfs/face/5f8d95df9c1bf036bcde346ab6bdec0ab48f51f1.jpg,Expectation
91,0,259175392480,387202843,听风带走往昔,6,男,福州性感男大在线报名,2025-03-31 09:56:37,0,0,,未知,是,https://i1.hdslb.com/bfs/face/6254443f594bc48a6b81b0b576e8848520227c3c.jpg,Neutral
92,0,259155039760,349309837,排头兵要麻,6,男,穿越火线就别说他牛逼了吧[喜极而泣]，我一个16年的老玩家表示年年都有G，没有几个经常玩的玩家一个星期或者说一个月遇不上G的。如果有，基本就两种原因，一种是你太牛逼，给人打烂了，另一种就是你纯娱乐的，死了就玩手机。,2025-03-31 04:52:29,0,0,,未知,否,https://i1.hdslb.com/bfs/face/05697e4798c4b57ec6886a5ce0b82a79770642ee.jpg,Regret
93,0,259129907760,20715904,SakuraSnow-,6,保密,用标准答案交上去，不管是镶金的答题卡，还是镶银的答题卡，不管是在哈尔滨交卷，还是海南交卷，机器阅卷人发现这个标准答案，应该并不难吧。这dma机器码用的是烂大街的开挂dma机器码，你们这测了和没测有啥区别…,2025-03-30 17:42:54,0,1,阿伟啊，又来查成分啦,未知,是,https://i1.hdslb.com/bfs/face/c8c30e474b0b3d6ef7892b965623a4401d26cbeb.jpg,Disgust
94,0,258276351105,299661489,我就鄙鄙不说话,5,保密,[吃瓜]腾子给你这个人大数据检测了。,2025-03-30 12:11:07,0,1,,未知,否,https://i0.hdslb.com/bfs/face/954a214743c962222e123006bc826a6cd9b8b043.jpg,Surprise
95,0,259086348304,12108713,花中行乐月中眠,5,保密,支持up主[妙啊]早日灭绝天才少年,2025-03-30 08:42:32,0,0,,未知,是,http://i2.hdslb.com/bfs/face/96b1ccb13d909030702cbcc5b0847ff1b52451b1.jpg,Joy
96,0,258256138545,384472275,瑞摸摸,6,保密,我我我我想换主板,2025-03-30 07:58:50,0,0,,未知,是,https://i0.hdslb.com/bfs/face/db6f8ada8e7ac526d7cd703abf421abb07e7d6eb.webp,Regret
97,0,259004605056,47016737,左轮薮猫,5,男,我要报名😋，我刚好想换主板了,2025-03-29 10:44:29,0,0,冲冲冲,未知,否,http://i2.hdslb.com/bfs/face/bf10963f7003e8ec1a2a5c4fa7abd6792a82766d.jpg,Joy
98,0,258886217264,40713226,一只椿湫,6,保密,嚯[崩坏3_点赞],2025-03-28 04:13:32,0,1,"一个普通的地球人
微博、A：一只椿湫
酷狗音乐、QQ音乐：离不开地球、某人
网易云音乐：小九巷东书记",未知,是,https://i1.hdslb.com/bfs/face/60571d4e81b6a6d9619c900a6a5fe3afd16a9915.jpg,Surprise
99,0,258065925457,3493289835628861,aka太酷啦,4,保密,也不知道是真是假[doge],2025-03-28 04:02:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/66b072c76d603499a4f49fe761cdefabd04343ed.jpg,Neutral
100,0,258866295024,1548668101,庇护所第一拳皇,5,保密,记得三角洲启动器的那个反作弊模组刚实装的时候还有关闭选项，不知道啥时候变成要么一直开着要么卸载别玩了[笑哭]不过这样也行吧，只要能有效封挂钩就可以,2025-03-27 19:20:25,0,0,你错过了吗？,未知,否,https://i1.hdslb.com/bfs/face/d5f18b8d11693bcc4cc00514856f81b6f5bb5a6b.jpg,Neutral
102,0,258009061313,16435294,zz_virus是个hentai,6,男,牛逼,2025-03-27 09:39:43,0,0,qwp,未知,是,https://i1.hdslb.com/bfs/face/fd4291e547b589d878d9699080eded1b001d139a.jpg,Joy
103,0,257997572337,9596457,墨香寻径,6,男,dma封的这么快吗[吃瓜],2025-03-27 06:27:19,0,0,无人扶我青云志，我自踏雪至山巅。若是命中无此运，孤身亦可登昆仑。,未知,是,https://i0.hdslb.com/bfs/face/6f9112cfba7b8728721e63b53f9c837b5b14f5b6.jpg,Surprise
104,0,258807413008,2061714049,塔塔开开,3,保密,投币了,2025-03-27 04:42:28,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e73fd65c8710db5b633346016d2f7ad16e488b16.jpg,Neutral
105,0,257988868465,382589095,婚姻是自由的坟墓,4,男,烟的要是直播官方就关注然后锁定,2025-03-27 04:17:39,0,0,,未知,否,https://i1.hdslb.com/bfs/face/49fe2950ebdfcdb1890992dc97879b146fc62cba.jpg,Expectation
106,0,258801487120,10907946,儿童劫战神,6,保密,吃鸡能封号吗，被打傻了,2025-03-27 03:27:01,2,0,,未知,是,https://i0.hdslb.com/bfs/face/98e37033a4ada349a232c3f7a0e54c041afc66c4.jpg,Surprise
107,0,258789606784,17005147,北荡嘤嘤嘤,6,保密,我报名！,2025-03-26 23:40:20,0,0,,未知,是,https://i1.hdslb.com/bfs/face/4029f29456581595f3092efc24bbcbca4abc5d66.jpg,Expectation
108,0,258789066400,22216946,带着猫和狗逛街,6,男,[doge]建议直接跟官方合作,2025-03-26 23:23:11,0,0,妙蛙种子吃着妙脆角又到了米奇妙妙屋，妙到家了,未知,否,https://i2.hdslb.com/bfs/face/3d08fbae42bab512ad7452d0a757839753afafb3.jpg,Expectation
109,0,257967260945,503068362,人活着就是为了远板凛,5,女,我要报名[神乐七奈_变猫猫],2025-03-26 17:46:33,0,0,姜禾单推人,未知,否,https://i0.hdslb.com/bfs/face/abe697bc0119bdc672a9fd07bb1759e43b53ca54.jpg,Expectation
110,0,258768237520,40151440,Misir,5,保密,能测一下PUBG吗,2025-03-26 14:18:30,0,2,,未知,否,https://i1.hdslb.com/bfs/face/a888fe05db9dabbb9da10d24afec6ba142df24fa.jpg,Expectation
